;ID;Trial;Time;Montage;Dose;Groups;Lag;Side;Entropy;Replica;Teste
0;AAS;1;2.0;0;0;baseline;7;R;0.05415201;0;
1;AAS;2;4.0;0;0;AC;19;R;0.03891382;0;
2;AAS;3;6.5;0;3;AC;20;R;0.0415462;1;
3;AAS;4;14.0;0;0;AC;20;R;0.01788689;0;
4;AAS;5;16.5;0;3;AC;18;R;0.02250112;1;
5;AAS;6;24.0;0;0;AC;19;R;0.03425392;0;
6;AAS;7;26.5;0;3;AC;7;R;0.04804837;1;
7;AAS;8;34.0;0;0;AC;20;R;0.01968289;0;
8;AAS;9;36.5;0;1;AC;20;R;0.01860423;2;
9;AAS;10;44.0;0;0;AC;20;R;0.02027132;0;
10;AAS;11;46.5;0;1;AC;19;R;0.03310473;2;
11;AAS;12;54.0;0;0;AC;20;R;0.01879807;0;
12;AAS;13;56.5;0;1;AC;20;R;0.03092391;2;
13;AAS;14;64.0;0;0;AC;20;R;0.008669243;0;
14;AAS;15;66.5;0;2;AC;20;R;0.01577763;3;
15;AAS;16;74.0;0;0;AC;20;R;0.02639843;0;
16;AAS;17;76.5;0;2;AC;20;R;0.01615266;3;
17;AAS;18;84.0;0;0;AC;20;R;0.02664442;0;
18;AAS;19;86.5;0;2;AC;19;R;0.03099682;3;
19;AAS;20;94.0;0;0;AC;20;R;0.02881386;0;
20;AAS;1;2.0;1;0;baseline;20;R;0.04189211;0;
21;AAS;2;4.0;1;0;CC;20;R;0.02148912;0;
22;AAS;3;6.5;1;1;CC;13;R;0.05363481;1;
23;AAS;4;14.0;1;0;CC;20;R;0.02693588;0;
24;AAS;5;16.5;1;1;CC;20;R;0.04515629;1;
25;AAS;6;24.0;1;0;CC;20;R;0.0253796;0;
26;AAS;7;26.5;1;1;CC;20;R;0.02275486;1;
27;AAS;8;34.0;1;0;CC;18;R;0.02758815;0;
28;AAS;9;36.5;1;2;CC;20;R;0.02503737;2;
29;AAS;10;44.0;1;0;CC;17;R;0.01557668;0;
30;AAS;11;46.5;1;2;CC;7;R;0.07022395;2;
31;AAS;12;54.0;1;0;CC;20;R;0.02572525;0;
32;AAS;13;56.5;1;2;CC;19;R;0.0315424;2;
33;AAS;14;64.0;1;0;CC;20;R;0.02193119;0;
34;AAS;15;66.5;1;3;CC;20;R;0.03347816;3;
35;AAS;16;74.0;1;0;CC;20;R;0.02697059;0;
36;AAS;17;76.5;1;3;CC;20;R;0.03601572;3;
37;AAS;18;84.0;1;0;CC;18;R;0.01797319;0;
38;AAS;19;86.5;1;3;CC;20;R;0.006712351;3;
39;AAS;20;94.0;1;0;CC;10;R;0.07268808;0;
40;AAS;1;2.0;2;0;baseline;20;R;0.02894279;0;
41;AAS;2;4.0;2;0;SHAM-CC;8;R;0.06599033;0;
42;AAS;3;6.5;2;2;SHAM-CC;19;R;0.02869479;1;CC
43;AAS;4;14.0;2;0;SHAM-CC;20;R;0.02718481;0;
